Item_UPC,Item_Description,Item_Max_Qty,Item_Order_Threshold,Item_Replenishment_Order_Qty,Item_On_Hand,Item_Unit_Price
72800B, 4 PURPLE FLOCK DINNER CANDLES,7,3,6,2,2.55
23345, DOLLY GIRL BEAKER,6,2,6,1,2.55
23391, I LOVE LONDON MINI BACKPACK,8,3,7,3,2.55
22900, SET 2 TEA TOWELS I LOVE LONDON ,7,3,6,2,4.96
23007, SPACEBOY BABY GIFT SET,11,4,10,6,2.55
21120,*Boombox Ipod Classic,17,6,15,12,0.79
22418,10 COLOUR SPACEBOY PEN,6,2,6,1,2.46
21448,12 DAISY PEGS IN WOOD BOX,7,3,6,2,2.46
23442,12 HANGING EGGS HAND PAINTED,8,3,7,3,1.25
21447,12 IVORY ROSE PEG PLACE SETTINGS,205,62,184,200,1.08
22906,12 MESSAGE CARDS WITH ENVELOPES,53,16,48,48,1.25
20982,12 PENCILS TALL TUBE SKULLS,5,2,4,0,1.25
20981,12 PENCILS TALL TUBE WOODLAND,9,3,8,4,2.46
84461,12 PINK HEN+CHICKS IN BASKET,8,3,7,3,2.46
21446,12 RED ROSE PEG PLACE SETTINGS,7,3,6,2,4.15
84465,15 PINK FLUFFY CHICKS IN BOX,9,3,8,4,4.15
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,55,17,49,50,3.75
23253,16 PC CUTLERY SET PANTRY DESIGN,17,6,15,12,4.15
23253,16 PIECE CUTLERY SET PANTRY DESIGN,13,4,12,8,4.15
21458,2 PICTURE BOOK EGGS EASTER BUNNY,10,3,9,5,4.15
21456,2 PICTURE BOOK EGGS EASTER CHICKS,6,2,6,1,8.29
21457,2 PICTURE BOOK EGGS EASTER DUCKS,11,4,10,6,4.15
22316,200 BENDY SKULL STRAWS,7,3,6,2,8.29
85034A,3 GARDENIA MORRIS BOXED CANDLES,6,2,6,1,4.15
22158,3 HEARTS HANGING DECORATION RUSTIC,7,3,6,2,29.13
22839,3 TIER CAKE TIN GREEN AND CREAM,6,2,6,1,20.38
72815,3 WICK CHRISTMAS BRIAR CANDLE ,6,2,6,1,9.95
22949,36 DOILIES DOLLY GIRL,7,3,6,2,20.38
22955,36 FOIL STAR CAKE CASES ,9,3,8,4,9.95
21188,3D HEARTS  HONEYCOMB PAPER GARLAND,8,3,7,3,9.95
84559B,3D SHEET OF CAT STICKERS,7,3,6,2,8.29
22732,3D VINTAGE CHRISTMAS STICKERS ,6,2,6,1,8.29
72800D,4 BLUE DINNER CANDLES SILVER FLOCK,6,2,6,1,19.96
72801G,4 BURGUNDY WINE DINNER CANDLES,10,3,9,5,9.95
35833G,4 GOLD FLOCK CHRISTMAS BALLS,8,3,7,3,8.29
72800E,4 IVORY DINNER CANDLES SILVER FLOCK,5,2,4,0,9.95
21616,4 PEAR BOTANICAL DINNER CANDLES,25,8,22,20,1.25
72801D,4 SKY BLUE DINNER CANDLES,9,3,8,4,1.25
22620,4 TRADITIONAL SPINNING TOPS,8,3,7,3,2.46
21619,4 VANILLA BOTANICAL CANDLES,7,3,6,2,1.25
21618,4 WILDFLOWER BOTANICAL CANDLES,6,2,6,1,1.25
22242,5 HOOK HANGER MAGIC TOADSTOOL,7,3,6,2,2.46
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,8,3,7,3,1.25
90199A,5 STRAND GLASS NECKLACE BLACK,11,4,10,6,2.46
85038,6 CHOCOLATE LOVE HEART T-LIGHTS,11,4,10,6,1.25
23354,6 GIFT TAGS 50'S CHRISTMAS ,53,16,48,48,1.25
22077,6 RIBBONS RUSTIC CHARM,405,122,364,400,1.04
84991,60 TEATIME FAIRY CAKE CASES,10,3,9,5,2.46
22952,72 CAKE CASES VINTAGE CHRISTMAS,18,6,16,13,1.25
84992,72 SWEETHEART FAIRY CAKE CASES,29,9,26,24,2.95
84989a,75 GREEN FAIRY CAKE CASES,6,2,6,1,2.95
23697,A PRETTY THANK YOU CARD,7,3,6,2,2.95
20764,ABSTRACT CIRCLES SKETCHBOOK ,8,3,7,3,2.95
35819B,ACRYLIC HANGING JEWEL,BLUE,12,4,11,7,2.95
35818B,ACRYLIC JEWEL ICICLE, BLUE,6,2,6,1,5.91
35818P,ACRYLIC JEWEL ICICLE, PINK,10,3,9,5,2.95
35817P,ACRYLIC JEWEL SNOWFLAKE,PINK,8,3,7,3,5.91
23084,add stock to allocate online orders,11,4,10,6,2.95
37327,adjustment,7,3,6,2,5.91
23595,adjustment,15,5,13,10,2.95
51020A,adjustment,25,8,22,20,2.95
22374,AIRLINE BAG VINTAGE JET SET RED,15,5,13,10,4.21
22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,23,7,21,18,2.95
22564,ALPHABET STENCIL CRAFT,6,2,6,1,4.13
21868,Amazon,20,6,18,15,2.95
90125E,AMBER BERTIE GLASS BEAD BAG CHARM,9,3,8,4,4.13
90126C,AMBER BERTIE MOBILE PHONE CHARM,8,3,7,3,4.13
90184A,AMBER CHUNKY BEAD BRACELET W STRAP,6,2,6,1,6.63
90178A,AMBER CHUNKY GLASS+BEAD NECKLACE,44,14,39,39,7.95
90185A,AMBER DIAMANTE EXPANDABLE RING,7,3,6,2,3.25
90184B,AMETHYST CHUNKY BEAD BRACELET W STR,17,6,15,12,3.25
16011,ANIMAL STICKERS,405,122,364,400,1.08
90161C,ANT COPPER LIME BOUDICCA BRACELET,8,3,7,3,3.25
90161D,ANT COPPER PINK BOUDICCA BRACELET,8,3,7,3,6.63
90161A,ANT COPPER RED BOUDICCA BRACELET,105,32,94,100,2.75
90161B,ANT COPPER TURQ BOUDICCA BRACELET,18,6,16,13,3.25
90162D,ANT SILVER PURPLE BOUDICCA RING,15,5,13,10,3.25
84884A,ANT WHITE WIRE HEART SPIRAL,13,4,12,8,3.25
21270,ANTIQUE CREAM CUTLERY CUPBOARD,46,14,42,41,2.75
22798,ANTIQUE GLASS DRESSING TABLE POT,11,4,10,6,14.95
21145,ANTIQUE GLASS PLACE SETTING,7,3,6,2,24.96
85042,ANTIQUE LILY FAIRY LIGHTS,6,2,6,1,24.96
90001B,ANTIQUE MID BLUE FLOWER EARRINGS,23,7,21,18,14.95
90001C,ANTIQUE OPAL WHITE FLOWER EARRINGS,9,3,8,4,16.95
22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,5,2,4,0,16.95
20963,APPLE BATH SPONGE,10,3,9,5,16.95
22915,ASSORTED BOTTLE TOP  MAGNETS ,5,2,4,0,16.95
84879,ASSORTED COLOUR BIRD ORNAMENT,10,3,9,5,14.95
21830,ASSORTED CREEPY CRAWLIES,7,3,6,2,8.95
22856,ASSORTED EASTER DECORATIONS  BELLS,6,2,6,1,4.95
17096,ASSORTED LAQUERED INCENSE HOLDERS,7,3,6,2,14.95
21637,ASSORTED SANSKRIT MINI NOTEBOOK,11,4,10,6,4.95
21644,ASSORTED TUTTI FRUTTI HEART BOX,6,2,6,1,10.79
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,53,16,48,48,4.15
11001,ASSTD DESIGN RACING CAR PEN,6,2,6,1,0.79
84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,29,9,26,24,4.15
85049F,BABY BOOM RIBBONS ,5,2,4,0,4.95
22937,BAKING MOULD CHOCOLATE CUPCAKES,6,2,6,1,8.47
21756,BATH BUILDING BLOCK WORD,147,45,132,142,0
85131B,BEADED CRYSTAL HEART GREEN ON STICK,106,32,96,101,0
22843,BISCUIT TIN VINTAGE GREEN,4005,1202,3604,4000,0
85225,BLING KEY RING STAND,29,9,26,24,0.85
21117,BLOND DOLL DOORSTOP,122,37,110,117,0
84563B,BLUE & WHITE BREAKFAST TRAY,101,31,91,96,0.85
85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,7,3,6,2,0.85
84805B,BLUE CLIMBING HYDRANGA ART FLOWER,17,6,15,12,0.85
21403,BLUE EGG  SPOON,5,2,4,0,0.85
84620,BLUE GINGHAM ROSE CUSHION COVER,7,3,6,2,1.66
84745B,BLUE HANGING GINGHAM EASTER HEN,7,3,6,2,2.51
21914,BLUE HARMONICA IN BOX ,6,2,6,1,0.85
84876D,BLUE HEART COMPACT MIRROR,6,2,6,1,1.63
90128B,BLUE LEAVES AND BEADS PHONE CHARM,5,2,4,0,0.85
40005B,BLUE ORGANDY ROUND LAMPSHADE W BEA,9,3,8,4,1.63
20703,BLUE PADDED SOFT MOBILE,9,3,8,4,19.96
20761,BLUE PAISLEY SKETCHBOOK,13,4,12,8,2.95
15044B,BLUE PAPER PARASOL ,15,5,13,10,0.85
20854,BLUE PATCH PURSE PINK HEART,11,4,10,6,3.25
21399,BLUE POLKADOT COFFEE MUG,7,3,6,2,1.63
21240,BLUE POLKADOT CUP,10,3,9,5,0.85
21397,BLUE POLKADOT EGG CUP ,77,24,69,72,0.85
20652,BLUE POLKADOT LUGGAGE TAG ,11,4,10,6,12.5
21244,BLUE POLKADOT PLATE ,33,10,30,28,1.63
23317,BLUE REFECTORY CLOCK ,149,45,134,144,0.72
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,10,3,9,5,3.25
84796B,BLUE SAVANNAH PICNIC HAMPER FOR 2,7,3,6,2,2.46
84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,293,88,264,288,0.72
85136B,BLUE SHARK HELICOPTER,8,3,7,3,0.85
21670,BLUE SPOT CERAMIC DRAWER KNOB,15,5,13,10,0.65
21669,BLUE STRIPE CERAMIC DRAWER KNOB,25,8,22,20,0.65
84313B,BLUE TV TRAY TABLE ,6,2,6,1,1.28
37491B,BLUE/YELLOW CERAMIC CANDLE HOLDER,6,2,6,1,0.65
37489B,BLUE/YELLOW FLOWER DESIGN BIG MUG,14,5,12,9,0.65
21520,BOOZE & WOMEN GREETING CARD ,65,20,58,60,0.65
22038,BOTANICAL LAVENDER GIFT WRAP ,6,2,6,1,1.25
84692,BOX OF 24 COCKTAIL PARASOLS,7,3,6,2,1.25
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,10,3,9,5,0.65
23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,8,3,7,3,1.25
20886,BOX OF 9 PEBBLE CANDLES,23,7,21,18,3.25
